문제번호	보기1	보기2	보기3	보기4
248	비서는 인물 동정란을 보고 상사 지인들의 승진, 영전, 부고를 찾아본다. 	비서는 효과적인 정보 수집을 위해 매일 모든 기사를 빠짐없이 꼼꼼히 읽는다. 	비서는 주요 기사를 놓치지 않기 위해 상사의 정보 요구에 적합한 2, 3종의 신문을 선별하여 조사한다. 	큰 제목을 기준으로 훑어보아 중요 기사를 파악한 후 필요한 경우 관련 내용을 스크랩한다. 
249	사무정보화는 조직의 생산성 향상과 업무 효율성 극대화를 가져왔다. 	사내 인트라넷을 통한 의사결정은 신속한 처리가 가능하지만 대면보다 질 높은 의사결정은 불가능하다. 	사무정보화에 의해 대두된 정보 보안 문제는 사무정보화의 부정적 효과 중 하나이다. 	사무정보화를 통해 직원들의 물리적 이동시간은 감소되었다. 
250	미라캐스트 	팟캐스트 	브로드캐스트 	피키캐스트 
251	.exe 	.bat 	.com 	.tiff 
252	신체적 특징인 지문, 얼굴, 홍채, 정맥인식과 같이 사람이 원래 갖고 태어난 특징을 추출, 저장해 개개인을 식별한다. 	행동적 특징인 음성, 서명, 걸음걸이 등과 같이 습관이나 환경적 요인에 따라 살면서 만들어지는 특징을 활용하기도 한다. 	다른 인증기술보다 사용이 편하고 보안성도 높다. 	최근에 핀테크 분야를 중심으로 적용되고 있으며 해킹문제가 발생하지 않으며 설치에 비용 부담도 적다는 장점이 있다. 
253	네트워크란 여러 대의 컴퓨터들로 묶여진 그룹이나 다른 장치들이 서로 연결되어 통신이 가능하도록 해 주는 장치나 시설 등을 말한다. 	네트워크에는 근거리 통신망인 LAN과 원거리 통신망인 WAN이 있다. 	인트라넷은 인터넷 기술과 통신규약을 이용하여 조직 내부의 업무를 통합하는 정보시스템을 의미한다. 	엑스트라넷은 사내에 국한된 전산망을 말한다. 
254	김비서는 중요한 서류나 기밀 문서는 잠금장치가 있는 캐비닛에 보관한다. 	이비서는 백신프로그램을 정기적으로 사용하고 최신 버전으로 업데이트한다. 	송비서는 파일 분실에 대비하기 위해 수시로 중요 문서를 백업(back up)하지만 외장하드는 보안문제로 사용하지 않는다. 	차비서는 잠시 자리를 비울 때에도 모니터가 잠금상태가 될 수 있도록 설정하였다. 
255	ping 	ipfind 	msconfig 	ipconfig 
256	휴대용 사무정보기기 사용을 위해 여분의 배터리를 준비한다. 	상사와 비서 본인의 컴퓨터 파일을 안전하게 보관하기 위하여 외장 하드와 USB메모리 등의 정보 저장기기를 사용한다. 	사내 행사에서 사용한 디지털 카메라와 캠코더의 경우 사용한 직후 메모리 카드내 미디어 파일을 컴퓨터에 업로드한 후 메모리카드를 포맷한다. 	여러 장의 팩스를 한꺼번에 보낼 경우 팩스 커버는 맨 뒤에 놓고 팩스를 받을 담당자에게 전화를 걸어 팩스 전송을 알린다. 
257	발신일 	발신번호 	수신기관 	인수자 
